ID,Product Name,Price in ?,Discount %,Link
1,slazenger mens shoes,699,80,https://www.flipkart.com/slazenger-blaze-running-shoes/p/itmehhgyggdtseyn?pid=SHOEHHGYX3CZVSYM&srno=s_1_32&otracker=search&lid=LSTSHOEHHGYX3CZVSYMPDYJFW&iid=90abbecb-a88c-4031-9344-b7cee634401d.SHOEHHGYX3CZVSYM.SEARCH&qH=43b6ca53abdb64ae
2,slazenger mens shoes,699,80,https://www.flipkart.com/slazenger-duece-running-shoes/p/itmehhgyruvhv4eb?pid=SHOEHHFZZGBH6GHG&srno=s_1_39&otracker=search&lid=LSTSHOEHHFZZGBH6GHGYIGJLX&iid=858ccc37-a50a-42c6-9d7c-3122156f6b09.SHOEHHFZZGBH6GHG.SEARCH&qH=43b6ca53abdb64ae
1,wall paintings,379,90,https://www.flipkart.com/saf-textured-print-uv-canvas-painting/p/itme8mx56st8nf3r?pid=PTGE8MX5UYT42VBA&srno=s_4_14&otracker=search&lid=LSTPTGE8MX5UYT42VBA3JJDQF&iid=f2598a72-c1ac-43d4-99d4-a801bd9cdf70.PTGE8MX5UYT42VBA.SEARCH&qH=8e3825219d9cc6ad
2,wall paintings,369,90,https://www.flipkart.com/saf-textured-print-uv-canvas-painting/p/itme8s7q9mgcqkbj?pid=PTGE8S7QG5QCVGTV&srno=s_9_10&otracker=search&lid=LSTPTGE8S7QG5QCVGTVIABWFD&iid=7dea4fa7-4fca-4a4a-8019-0e24800129e3.PTGE8S7QG5QCVGTV.SEARCH&qH=8e3825219d9cc6ad
3,wall paintings,382,90,https://www.flipkart.com/saf-textured-print-uv-canvas-painting/p/itme8s7qz3uwyybh?pid=PTGE8S7QDCH8NK5A&srno=s_29_38&otracker=search&lid=LSTPTGE8S7QDCH8NK5AD8RT98&iid=fe2135f5-7a94-454c-990a-61f4afb42222.PTGE8S7QDCH8NK5A.SEARCH&qH=8e3825219d9cc6ad
4,wall paintings,369,90,https://www.flipkart.com/saf-textured-print-uv-canvas-painting/p/itme8s7qghpcmfjb?pid=PTGE8S7QXJKNUJSY&srno=s_30_31&otracker=search&lid=LSTPTGE8S7QXJKNUJSYPKXI6D&iid=21c2dfc0-d5aa-42cc-9236-401434594b49.PTGE8S7QXJKNUJSY.SEARCH&qH=8e3825219d9cc6ad
5,wall paintings,369,90,https://www.flipkart.com/saf-textured-print-uv-canvas-painting/p/itme8s7qghpcmfjb?pid=PTGE8S7QXJKNUJSY&srno=s_31_2&otracker=search&lid=LSTPTGE8S7QXJKNUJSYPKXI6D&iid=797f4f5b-bce3-408e-9b94-f6dc558c3670.PTGE8S7QXJKNUJSY.SEARCH&qH=8e3825219d9cc6ad
6,wall paintings,382,90,https://www.flipkart.com/saf-textured-print-uv-canvas-painting/p/itme8s7qz3uwyybh?pid=PTGE8S7QDCH8NK5A&srno=s_31_15&otracker=search&lid=LSTPTGE8S7QDCH8NK5AD8RT98&iid=2d601db6-982b-4299-84fd-a84d01280dde.PTGE8S7QDCH8NK5A.SEARCH&qH=8e3825219d9cc6ad
1,g shock watches,274,60,https://www.flipkart.com/giftmania-s-shock-mt-g-analog-digital-watch-men/p/itmedza4fkcebwwg?pid=WATEDZA44XXZRYQN&srno=s_1_10&otracker=search&lid=LSTWATEDZA44XXZRYQNKI3ZAO&iid=e6f9830a-b5ea-4063-a5eb-2d5ab19dcfa5.WATEDZA44XXZRYQN.SEARCH&qH=a2f3f7bcee831312
2,g shock watches,899,72,https://www.flipkart.com/felizer-shock-analog-digital-watch-men/p/itmektr4gxyqzncx?pid=WATEKTR4PFZUSJJZ&srno=s_1_11&otracker=search&lid=LSTWATEKTR4PFZUSJJZXATWOS&iid=7ed02e3a-4b33-4b95-b046-e94947389e02.WATEKTR4PFZUSJJZ.SEARCH&qH=a2f3f7bcee831312
